category,filename
law,[별표 22] 사고의 통보방법 등(제74조제2항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 10의2] 정량 미달 공급 여부 등의 검사 방법 및 절차(제33조의2 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 16] 안전관리규정의 작성 요령(제43조 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 19] 안전교육 실시방법(제66조제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 2] 다중이용시설(제2조제1항제17호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 23] 가스사고배상책임보험과 소비자보장책임보험의 보험금액(제75조제5항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 15의3] 공사계획의 신고대상(제49조의2제2항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 2] 판매가격 보고 대상의 종류와 보고내용 등(제31조제2항 관련)(액화석유가스의 안전관리 및 사업법 시행령).hwp
law,[별표 11] 연간 내수판매량의 산출방법(제29조제1항)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 13] 액화석유가스의 공급방법(제34조 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,캠핑용자동차 내 액화석유가스 사용시설에 대한 안전기준(산업통상자원부고시)(제2024-62호)(20240403).hwp
law,[별표 1] 보호시설(제2조제1항제16호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 1] 안전관리자의 자격과 선임 인원(제15조제4항 관련)(액화석유가스의 안전관리 및 사업법 시행령).hwp
law,[별표] 이동용 음식판매 화물자동차 내 액화석유가스 사용시설의 시설·기술·검사 기준(이동용 음식판매 화물자동차 내 액화석유가스 사용시설에 대한 특례기준).hwp
law,[별표] 캠핑용자동차 내 액화석유가스 사용시설의 시설·기술·검사 기준(캠핑용자동차 내 액화석유가스 사용시설에 대한 안전기준).hwp
law,[별표 12] 과징금의 부과기준 및 산출기준(제31조제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
fee,LPG 검사수수료.pdf
