제목,질문,답변
도시가스에서 LPG로 용량 전환,"도시가스에서 LPG로 용량 전환 질의내용 도시가스 한달 사용량이 2, 000m3 인곳이라면 LPG로 사용한다하면 몇 루베/h 또는 kg/h  나오는지 알고 싶습니다. 답변 기다리겠습니다 .","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> [ 질의 1]  도시가스에서 LPG전환 시 ㎥ → kg 및 ㎥ → ㎥ 환산방법 <답변내용> [ 답변 1] ㅇ 우리공사는 가스시설의 법정검사를 담당하는 기관으로서 고객님의 문의사항에 대하여 정확 한 답변을 드리기에는 어려움이 있습니다.  이 점 양지하여 주시기 바라며,  일반적인 사항을 아 래와 같이 안내해 드리오니 조금이나마 도움이 되시기를 바랍니다. LPG 발열량을 24, 000kcal /㎥ LNG 발열량을 10, 500kcal /㎥로 가정한다면 LNG 1㎥는 LPG 0. 4375㎥ ( 10, 500kcal /㎥ ÷  24, 000kcal /㎥) 로 환산됩니다. LPG의 0. 509㎥/kg이므로 0. 4375㎥ ÷  0. 509㎥/kg = 0. 8595kg으로 계산됩니다. 따라서,  도시가스 1㎥는 LPG로 환산 시 약 0. 8595kg( 0. 4375㎥) 으로,  도시가스 2000㎥를 LPG 로 환산 시 1, 719kg( 875㎥) 입니다. 단,  발열량은 지역별로 다를 수 있기에 정확한 내용은 공급자 등에 문의 후 참고하시면 되 겠습니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
LPG 배관 시공후 배관에 l pg가스 이외 다른 연료도 사용 해도되는지 확인 부탁드립니다,LPG 배관 시공후 배관에 l pg가스 이외 다른 연료도 사용 해도되는지 확인 부탁드립니다 질의내용 안녕하십니까 LPG 배관 시공후 LPG 배관에 l pg 가스말고 다른 가스도 선택해서 사용해도되는지 확인 부탁드립니다,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> [ 질의 1]  LPG배관에 다른 가스 겸용 사용가능 여부 <답변내용> [ 답변 1] ㅇ 액화석유가스의 안전관리 및 사업법 시행규칙 별표20 제1호가목4) 가) 에는 배관( 관 이음매와 밸브를 포함한다) 의 재료는 배관의 안전성을 위하여 액화석유가스의 압력,  사용하는 온도 및 환경에 적절한 기계적 성질과 화학적 성분이 있는 것이어야 한다고 규정하고 있습니다. ㅇ 상기 규정에 따라,  LPG용 배관에 다른 가스를 겸용 사용할 경우,  배관의 안전성 및 성능 저 하 우려가 있어 겸용 사용이 불가할 것으로 사료됩니다. ㅇ 참고로,  가스별 배관의 사용가능 여부는 관련법령 및 국가표준( KS)  등을 확인하시어 선정하 시면 되겠습니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
2단 간텍기문의,"2단 간텍기문의 질의내용 저는 강원도 태백에서 누룽지삼계탕 가게를 운영하고있습니다. 다름이 아니라 저희는 압력밥솥을 많이 사용하다보니 화구가 많이 필요합니다 그래서 주방 공간도 협소하다보니 아래. 위 2단 화구를 사용하고 있는데 가스 설치 기사님이 가스안전공사 검사관님도 안오시고 설치가 끝나고몇일을 기다려도 필증이 안나온다고만 하고 필증검사를 설치기사님이 신청했고 부적합 설치다 하고 연락이 와야되는데 아무것도 안오고 설치기사님이 2단화구는 필증을 안내준다 해서 필증받으려면 위아래 한곳 배관을 해체후 나온다고 해서 해체하면 장사에 지장이 생긴다 왜안나오는거냐 하니까 가스안전공사에 검사도 올리지도 않고 본인 스스로 안될것 같다. 나는 지금까지 2단화구를 본적이 없다는이유로 검사를 올리지도 않았답니다.  안올리고 아래배관 해체를 해야 필증이 나온다고 합니다.   그래서 저희 본사뿐 아니라 다른지역 대전, 충남. 전국적으로  삼계탕가게나 한식파는곳 심지어 관공서, 학교에서까지 필증받고 2단화구를 사용하고 있습니다. 설치 기사님한테 2단화구에 대한 사진. 영상을 보여줘도 본인이 2단화구는 본적이 없다고 안된다고 하는데. 한국가스안전공사에 민원 넣으라네요 다른지역은 전부 필증 잘받고 상용하고 있는데 왜 강원도만 이런 문제가 생기는건지, 설치기사가 답답한건지 정말 화가나네요.  말이 안통합니다. 그럼 저희가 사용 안되면 다른지역 가게들도 사용 못하게 해야된는거 아닌가요?한국가스안전공사는 통합인데 이런문제가 생긴다는게 말도 안되네요. 2단화구 사용이 정말 안된다면 다른곳도 사용못하게 한다면 저도 더이상 민원을 넣지 않겠습니다. 사진첨부했으니 보시고 판단해주세요 ( 태백지역 담당부서는 강원영동지사 검사원은 이대순님 이시네요)","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> [ 질의 1]  업무용대형연소기 2단 시공 가능 여부 문의 <답변내용> [ 답변 1] ㅇ 액화석유가스의 안전관리 및 사업법 제40조4항 및 5항에 따라,  가스용품 사용자는 그 가스 용품에 용도,  사용 방법 등에 맞게 가스용품을 사용하여야 합니다. ㅇ 고객님께서 문의하신 시설의 사진을 확인한 결과,  업무용대형연소기를 2단으로 임의 설치한 형태로 확인되며,  이 형태는 구조,  성능에 대한 안전성이 확보되지 않은 형태로 사료됩니다. ㅇ 업무용대형연소기 유관부서인 시험검사처 확인 결과,  안전관리상 바람직하지 않은 사유를 아래와 같이 안내 드립니다. -  한쪽 다리 치우침 등으로 인한 가스사고 발생 우려 -  하부 연소기의 환기 불량으로 인한 일산화탄소 체류 및 사고발생 우려 -  하부 연소기의 열로 인한 상부 연소기 노즐콕,  고무패킹 성능저하 및 손상 우려 ㅇ 따라서,  2단 연소기의 형태의 사용은 불가하며,  가스용품의 용도,  사용방법 등을 확인하시 어 안전성이 확보된 형태로 사용이 필요함을 알려드립니다. ㅇ 참고로,  상부 연소기의 다리를 하부 연소기에 임의 용접할 경우 액화석유가스의 안전관리 및 사업법 제40조5항에 따라,  불법 개조에 해당됩니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
매니폴더 비파괴 질문,"매니폴더 비파괴 질문 질의내용 1.  절단용으로 사용하는 83kpa LPG용 매니폴더를 제작하여 납품시, 100A 캡 용접부를 비파괴 MT 진행후 내압기밀검사를 하여 납품이 가능한지 궁금합니다. 2.  추후 특정사용시설 완성검사 진행시 자재성적서,  비파괴성적서,  내압기밀성적서를 제출하면 되는지 궁금합니다. 매니폴더는 싸이즈는 압력용기에 해당하지 않는 1M길이 입니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  LPG용 매니폴더 용접부 자분탐상시험 가능 여부 및 자체 검사 후 납품 가능 여부 문의 ㅇ 질의 2)  납품 가능 시 완성검사 서류 제출 관련 문의 <답변내용> [ 답변1, 2] ( 용접부에 자분탐상시험 가능여부) ㅇ KGS FU432 2. 5. 4. 1. 1( 4) 에서 액화석유가스가 통하는 다음의 배관 용접부는 KGS GC205( 가스 시설 용접 및 비파괴시험 기준) 에 따라 비파괴시험을 실시하도록 규정하고 있습니다. -  압력 0. 1MPa 이상인 배관의 용접부 -  압력 0. 1MPa 미만인 호칭지름 80A 이상의 배관의 용접부 ( 단,  건축물 외부에 노출하여 설치된 0. 01MPa 미만인 배관의 용접부는 제외) ㅇ KGS GC205 3. 1. 2. 1에서는 배관의 용접부에는 육안검사와 방사선투과검사 실시가 원칙이나, 사업소 내 배관으로서 방사선 투과시험을 실시하기 곤란한 곳은 초음파탐상시험 또는 자분탐 상험( 또는 침투탐상시험) 을 하도록 규정하고 있으며, ㅇ 사업소 밖 배관으로서 방사선투과시험을 실시하기 곤란한 곳은 초음파탐상시험과 자분탐상 시험( 또는 침투탐상시험) 을 실시하도록 하고 있습니다. ㅇ 따라서,  고객님께서 문의하신 시설이 객관적으로( 비파괴 검사자 의견,  현장여건 등)  방사 선투과시험을 실시하기 곤란한 경우에는 사업소 내/외부를 확인하신 뒤,  상기 규정에 따라 비 파괴 시험을 실시하면 될 것으로 판단됩니다. ( 자체 검사 후 납품 가능 여부) ㅇ 실제 사용목적으로 LPG특정사용시설에서 한국가스안전공사 담당 검사원이 실시하는 완성검 사/안전성확인이 아닌 제작 납품 목적의 사업장 자체적인 비파괴시험,  내압 기밀시험은 법정 검사로서의 효력이 없습니다. ㅇ 따라서,  고객님께서 자체적인 비파괴시험,  내압 기밀시험을 완료하여 납품하신다고 하더 라도,  특정사용시설 완성검사 시 면제되는 사항은 아님을 알려 드립니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
야외 온수 보일러,야외 온수 보일러 질의내용 야외에서 행사 때 물을 온수로 따뜻하게 하기 위해 온수 전용 보일러를 사용 하고자 합니다. 전부터 지금까지 사용했으나 별 문제는 없었습니다. 지금 보일러하고 연결 장치를 올려드리겠습니다. 안전에 문제가 없는지 확인해 주시길 부탁 드립니다. 답변 부탁 드립니다. 늘 수고에 감사드립니다. 담당자 김민영  010 4710 4424,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  옥외에서 이동하며 사용하는 가스보일러 적정여부 문의 <답변내용> [ 답변 1] ㅇ 액화석유가스의 안전관리 및 사업법 제44조제1항에는 액화석유가스를 사용하려는 자는 산 업통상자원부령으로 정하는 시설기준과 기술기준에 맞도록 액화석유가스의 사용시설과 가스용 품을 갖추어야 한다고 규정하고 있습니다. ㅇ 상기 규정은 특정사용자에서 제외되는 자( 이동하면서 액화석유가스를 사용하는 자) 일지라 도 액화석유가스를 사용하는 자는 동 규정을 준용하여야 하는 것이며,  사용시설의 시설기준과 기술기준은 동법 시행규칙 별표 20에 규정하고 있습니다. ㅇ 동법 시행규칙 별표 20 제1호나목1) 나) 에 따라 내용적 20L이상의 충전용기를 옥외를 이동 하면서 사용할 때에는 용기운반 전용 손수레에 단단하게 묶어 사용하여야 하고,  사용한 후에는 용기보관실에 보관해야 합니다. ㅇ 고객님께서 첨부하신 사진에는 LPG용기운반 전용 손수레에 보일러를 고정설치하신 형태로 확인되며,  이는 벽에 확실하게 고정 설치한다는 KGS CODE GC208의 2. 2. 3. 1 내용에 부합하지 않습니다. ㅇ 따라서,  고객님께서 문의하신 용기운반 전용 손수레에 가스보일러를 고정설치한 형태의 가 스사용은 안전관리상 바람직하지 않을 것으로 사료됩니다. ㅇ 그 외에 추가적인 사항은 액화석유가스의 안전관리 및 사업법 시행규칙 별표 20의 시설기 준 기술기준과 상세기준인 KGS CODE FU431,  GC208,  해당보일러 설치설명서 등을 참조하시면 되겠습니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
LPG → LNG 보일러 열변 가능 여부 문의드립니다.,"LPG → LNG 보일러 열변 가능 여부 문의드립니다. 질의내용 LPG → LNG 열변 가능 여부를 문의드립니다. 문의드리는 이유는 보일러의 용량 명칭이 다르기 때문입니다. 기존 설치된 LPG 보일러 :  &l squo; 거꾸로 NEW 콘덴싱 P10 가스보일러 -  17HWP&l squo; 열변 필요한 LNG 보일러 :  &l squo; 거꾸로 NEW 콘덴싱 P10 가스보일러 -  18HW 또는 18H&l squo; ( 18HW,  18H,  17HWP 모델 모두 인증등록된 모델입니다. ) ※  모델명의 숫자가 다릅니다.  열변 가능한지 궁금합니다. -  숫자는 다르지만 가스소비량은 동일합니다.  ( 정확하게는 18H 모델은 기존 17HWP 모델과 수치 동일합니다. )  ( 18HW 모델은 난방소비량은 동일하며,  온수소비량은 다릅니다. )  ( 제원표 첨부합니다. ) 이상입니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  연소기 모델별 용량별 열량변경 가능 여부 문의 <답변내용> [ 답변 1] ㅇ 액화석유가스 사용시설의 연소기 열량변경에 대한 사항은 상세기준인 KGS FU431( 용기에 의 한 액화석유가스 사용시설의 시설ㆍ기술ㆍ검사 기준)  부록 D,  FU432( 소형저장탱크에 의한 액화 석유가스 사용시설의 시설ㆍ기술ㆍ검사 기준)  부록 E 및 FU433( 저장탱크에 의한 액화석유가스 사용시설의 시설ㆍ기술ㆍ검사 기준)  부록 D에서 규정하고 있습니다. ㅇ 상기 규정에 따라 사용이력이 없는 신제품 연소기에 대한 열량 변경은 가능하지 않으나, 사용이력이 있는 연소기의 경우에는 열량변경 후 열량변경표지판을 연소기 주위 보기 쉬운 곳 에 부착한다면 사용이 가능함을 알려드립니다. ㅇ 다만,  고객님께서 문의하신 가스보일러의 용량 및 모델별 열량변경 가능 여부는 규정하고 있지 않습니다.  따라서,  연소기의 열량변경 작업 주무부서인 가스보일러 제조사로 문의주시기 바랍니다. [ 참고]  가스보일러 및 온수기의 열량변경 작업자 자격 -  가스보일러 제조사의 A/S 종사자 -  가스보일러 판매업체 직원으로서 연소기 제조사의 A/S교육을 받은 자 또는 가스보일러 판 매업소 직원으로서 A/S업무에 2년 이상 근무한 자 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
한국에너지관리공단 검사대상기기에 대한 kgs의 추가 검사,"한국에너지관리공단 검사대상기기에 대한 kgs의 추가 검사 질의내용 금회 신축 오피스텔의 옥외에 소형저장탱크( 1TON) 설치후 지하2층 기계실에 중앙집중식으로 급탕용과 난방용으로 캐스케이드보일러( 용량50, 000kcal /hx 13EA) 와 온수기( 50, 000kcal /hX 13EA) 을 설치하고 한국에너지공단의 열사용기자재 검사와 KGS의 LPG특정사용시설 완성검사를 받을 예정입니다 그런데 상기 시설에 대한 KGS의 완성검사 담당자의 해당 시설의 검사범위 및 관련 서류첨부 요청이 이해되지 않는 부분이 있어서 질의 코져 합니다 첫째,  먼저 KGS완성검사 담당자는 한국에너지공단의 검사대상인 해당 보일러의 설치와 관련해서 보일러설치시공확인서와 보험증권을 요구하고 있고 둘째,  캐스케이드 보일러와 온수기 의 연통설치( 단독부~ 금속이중관형 연통) ,  시공표지판 부착, CO경보기 등 이 설치되었는지 확인 및 도면에 기재를 요청하고 있어서 이러한 요구 합당한 지 입니다 개정고시된 산업통상자원부 고시 제2023- 1호 22. 8항에서는 캐스케이드 보일러설치. 시공기준을 설명하고 있고 22. 8. 2~22. 8. 6에서 세부적으로 설치기준을 나열하고 있는 데 관련 규정들은 KGS GC209를 따르도록 규정하고 있습니다 그래서 KGS 완성검사 담당자의 요구되로라면 해당 열사용기자재시설은 한국에너지공단과 KGS에서 중복하여 검사한 다는 것이 되고 이 부분이 이해 안됩니다 이번 경우와  유사한 사례로는 스팀보일러의 경우 인 것 같은 데 스팀보일러는 열사용기자재에 해당하여 한국에너지공단의 검사를 받고 있어서 KGS의 추가적인 보일러시설 검사는 받지않고 보일러설치시공확인서와 보험가입증명서는 제출하지 하지 않는 것으로 알고 있습니다 답변내용은  담당자에게 제출할 예정이오니 서면으로 해주세요","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  에너지이용 합리화법 검사대상기기 관련 검사범위 문의 <답변내용> ㅇ 「액화석유가스의 안전관리 및 사업법」시행규칙 별표 20 제1호다목5) 에서는 「에너지이용 합리화법」제39조제1항에 따른 검사대상기기의 앞에 설치된 가스차단밸브 이후의 액화석유가스 사용시설은 완성검사 및 정기검사 범위에서 제외한다고 규정하고 있습니다. ㅇ 「에너지이용 합리화법」제39조제1항 과 동법 시행규칙 별표1 및 별표3의3에서 검사대상기 기를 규정하고 있으며 이에 해당되는 캐스케이드 보일러는 아래와 같습니다. ㅇ 캐스케이드 보일러 :  「산업표준화법」 제12조제1항에 따른 한국산업표준에 적합함을 인증 받거나 「액화석유가스의 안전관리 및 사업법」 제39조제1항에 따라 가스용품의 검사에 합격한 제품으로서,  최고사용압력이 대기압을 초과하는 온수보일러 또는 온수기 2대 이상이 단일 연 통으로 연결되어 서로 연동되도록 설치되며,  최대 가스사용량의 합이 17kg/h( 도시가스는 232. 6 킬로와트) 를 초과하는 것 ㅇ 위 규정에 따라,  고객님이 문의하신 캐스케이드형 보일러가 위 보일러에 해당될 경우,  검사 대상기기의 앞에 설치된 가스차단밸브 이후의 액화석유가스 사용시설은 한국가스안전공사 검사 범위에서 제외되며 추가적인 서류제출 또한 해당이 없을 것으로 사료됩니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
l pg가스 변경완성검사 수수료 문의( 다세대 단독 주택 l pg통에서 l pg탱크로 변경완성검사),"l pg가스 변경완성검사 수수료 문의( 다세대 단독 주택 l pg통에서 l pg탱크로 변경완성검사) 질의내용 수고 많으십니다 l pg 변경 완성검사 수수료에 관해서 문의 드립니다 기존 다세대 주택을 l pg통으로 사용하던 시설을 l pg탱크시설로 변경 완성검사건입니다 23. 07월에 수수료가 변경 되었다고 합니다 공동주택이 아니고 단독주택으로 되어 있습니다 기존에는 l pg t ank 용량으로 요금이 측정되어 나가던 것이 지금은 세대당 33, 000원으로 한다고 들었습니다 신규도 아니고 기존 단독 주택 시설에 용기에서 t ank로 변경 완성인데 세대당으로 적용되는 것이 맞는지 애매하여 문의드립니다 기존세대 다 각각 검사사가 아니라 t ank와 변경 부분 배관만 검사가 되는 것으로 알고 있습니다 그러면 소형저장 t ank 용량으로 수수료가 적용되는 것이 아닌지 문의 드립니다 1.  변경완성검사 2.  ""l pg용기""에서 ""l pg 소형저장t ank"" 로 변경 3.  탱크 연결을 위한 일부 배관 변경 변경 완성검사 수수료가 세대당 요금 적용으로 되는 아니면 변경된 t ank용량 요금으로 적용 받는지 문의드립니다","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  단독주택( LPG사용시설)  저장설비 변경공사에 따른 변경완성검사 수수료 관련 문의 <답변내용> [ 질의 1] ( 완성검사이력이 있는 경우) ㅇ 「 액화석유가스 안전관리 및 사업법 」시행규칙 제71조제1항제3호에 따라 질의하신 시설의 공사는 법 제44조제2항에 따른 완성검사를 받아야하는 변경공사에 해당됩니다. ㅇ 산업통상자원부 고시 제2023- 126호「액화석유가스시설 등의 검사수수료 및 교육비기준」제5 호가목( 2) 에는 저장설비가 교체설치되는 경우에는 교체설치되는 설비능력에 해당하는 당해 시 설 수수료를 납부한다고 규정하고 있습니다. ㅇ 따라서,  이번에 설치되는 소형저장탱크의 저장능력에 따라 검사수수료를 산정해야 할 것으 로 사료됩니다. ( 완성검사이력이 없는 경우) ㅇ 「 액화석유가스 안전관리 및 사업법 」시행규칙 제70조제1항제3호에 따라 질의하신 시설은 액화석유가스 특정사용자에 해당되어 법 제44조제2항에 따른 완성검사를 받아야 하며,  완성검 사 범위는 동법 시행규칙 별표20 제2호다목3) 에 따라 저장설비로부터 연소기까지임을 안내드립 니다. ㅇ 산업통상자원부 고시 제2023- 126호「액화석유가스시설 등의 검사수수료 및 교육비기준」제5 호나목( 1) 에는 단독주택 시설의 완성검사 수수료는 수용가구마다 액화석유가스 특정사용시설 완성검사 최저수수료를 납부한다고 규정하고 있습니다. ㅇ 따라서,  질의하신 시설의 액화석유가스를 사용하는 수용가구수를 반영하여 검사수수료를 산 정해야 할 것으로 사료됩니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  김동현 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1344 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
LPG 소형저장탱크 옥상 설치 문의,"LPG 소형저장탱크 옥상 설치 문의 질의내용 안녕하세요 이지에너텍 박상훈 부장입니다. LPG 소형저장탱크 2. 45톤을 10층 옥상에 설치할려고 합니다. 현재 소형저장탱크 밑에 층에는 사무실을 사용할 예정이며, 소형저장탱크를 옥상에 설치 시 문제 없는지 구조계산을 받을 예정입니다. 이떄 옥상에 설치 시 제출해야 될 서류가 무엇인지 문의드리며, 접지는 1층까지 끌고가서 설치해야되는지 또는 옥상에 흙이 있다면 거기에 접지를 해도 되는지 문의드립니다. 감사합니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의 1)  건축물 옥상에 소형저장탱크 설치가능여부 질의 2)  가능시 접시 설치 방법 <답변내용> ㅇ 질의 1, 2 답변)  KGS CODE FU432 2. 3. 3. 3( 7)  단서 조항에 따라 건축사,  건축관련 기술사 등 전문가가 발행하는 해당 건축구조물의 강도계산서 등을 통해 소형저장탱크의 하중을 견딜 수 있는 구조물로 확인된 경우에는 건축물의 옥상,  지하주차장 상부등 건축구조물 위에 설치할 수 있습니다. ㅇ 따라서,  상기 규정에서 요구하는 해당 건축구조물의 강도계산서 등을 제출하시면 됩니다. ㅇ 또한,  접지의 설치 위치는 별도로 규정하고 있지 않으나,  KGS FU432 2. 8. 11에서 규정하고 있는 정전기제거설비 설치 규정에 따라 설치하여야 합니다. ㅇ 다만,  “ 접지” 란 전기 회로를 동선 따위의 도체로 땅과 연결하는 것으로 표준국어대사전에 서 규정하고 있습니다.  이는 회로와 땅의 전위를 동일하게 유지함으로써 이상 전압의 발생으로 부터 기기를 보호하기 위함으로,  그 취지를 보았을 때 접지는 땅과 접하여 설치하는 것이 안전 관리상 바람직할 것으로 사료됩니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  최승훈 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1309 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
가스 시공 문의,"가스 시공 문의 질의내용 안녕하세요 저는 카라반,  트레일러등에 관련된 가스용품을 시공,  납품하는 업체에 재직중입니다. 2023년 12월 1일부터 시행된 캠핑카,  트레일러 등의 가스시설 완성검사와 관련하여 문의하고자 합니다 현재 해외에서 수입되는 캠핑카,  트레일러등은 해외 규격 배관에 해외규격 압력조정기가 장착된 상태로 수입되고 있습니다 이에 기존에 장착되어있던 해외규격 압력조정기를 국내용기에 체결하기위하여 국내의 검사받은 측도관에 특정된 니플등을 결합하고 재료 적합 여부를 파악하기 위해 시험성적서등을 첨부하여 가스안전공사의 완성검사를 받고 있습니다. 현재 카라반 업체들의 요청이 있어 해외 규격 압력조정기를 제거하고 국내 KS 압력조정기( 자동절체식압력조정기)  를 장착하고자 하는데 시행령을 살펴보다 플레어 이음의 경우 허용된다는 내용을 확인했습니다. 수입된 캠핑카,  트레일러의 가스 배관에서( 동관상태입니다) 기존의 해외압력조정기를 탈착하고 국내규격 압력조정기나 절체기로 변경하는 시공을 하려 합니다 재시공한 부위는 플레어이음으로 시공하고 전단부에 가압부를 설치하여 전체배관의 기밀시험을 행할 수있도록 시공하면 완성검사가 가능한지 문의드립니다. 좀더 편하게 구조를 파악하실수 있도록 사진을 첨부드립니다. 감사합니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 질의)  캠핑카 내 액화석유가스 사용시설에서 동관을 플레어 이음으로 설치 가능 여부 <답변내용> ㅇ 질의답변)  산업통상자원부고시 제2020- 8호,  캠핑용자동차 및 캠푱용트레일러 내 액화석유가 스 사용시설에 대한 안전기준( 이하,  “ 고시” )  별표 라. 16) 의 단서조항에 따라 FU431 2. 5. 4. 1. 1( 2)  단서에도 불구하고 동관의 경우에는 플레어 이음을 할 수 있도록 규정하고 있습 니다. ㅇ 또한,  KGS FU431 2. 5. 4. 1. 1( 2)  동관의 접합은 용접 시공을 원칙으로 한다.  다만,  사용압력 이 30kPa이하이고,  관경이 40A 이하인 동관 상호간의 접합부와 밸브 등 가스기기와의 연결부분 은 나사접합을 할 수 있도록 하고 있습니다. ㅇ 따라서,  상기의 관경과 압력을 준수하여 설치할 경우,  질의하는 플레어이음으로 동관의 접 합은 가능할 것으로 사료됩니다. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  최승훈 / 소  속 :  LP가스부 /  연락처 :  043- 750- 1309 국민과 함께하는 글로벌 가 스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항상 건 강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
